 count, time,time/count
777,15159077,"19509,7516087516"
1424,31438752,"22077,7752808989"
1300,28701541,"22078,1084615385"
913,18880677,"20679,8214676889"
1352,44887187,"33200,5821005917"
1622,50729925,"31276,1559802713"
4318,503075158,"116506,521074572"
4306,507644458,"117892,349744543"
287,8246079,"28731,9825783972"
292,8324465,"28508,4417808219"
436,10688338,"24514,5366972477"
183,6171668,"33724,9617486339"
388,8608193,"22186,0644329897"
4,268610,"67152,5"
60,2390601,"39843,35"
72,4285050,"59514,5833333333"
67,2292380,"34214,6268656716"
72,3886222,"53975,3055555556"
111164,42007319872,"377886,005109568"
298,10023686,"33636,5302013423"
21,746877,"35565,5714285714"
21,659030,"31382,380952381"
1080,30100100,"27870,462962963"
3893,471743651,"121177,408425379"
12819,1884101638,"146977,271081988"
9540,1193724546,"125128,359119497"
1104,51023924,"46217,3224637681"
2494,107183563,"42976,5689655172"
2569,102832176,"40028,0949785909"
2708,117573946,"43417,2621861152"
3562,158966193,"44628,3528916339"
2397,54903502,"22905,090529829"
1885,45936182,"24369,3273209549"
2541,58138174,"22880,0369933097"
694,23118184,"33311,5043227666"
724,24159158,"33369,0027624309"
1852,54177722,"29253,6295896328"
930,24408721,"26245,9365591398"
1408,42211358,"29979,6576704545"
955,25747472,"26960,7036649215"
250,6717801,"26871,204"
642,18005895,"28046,5654205607"
187,5568395,"29777,513368984"
773,21174931,"27393,1836998706"
433,9500756,"21941,6997690531"
853,21410110,"25099,7772567409"
855,22366953,"26160,1789473684"
896,28912698,"32268,6361607143"
1926,56444716,"29306,7061266874"
225,7997578,"35544,7911111111"
283,9209345,"32541,8551236749"
366,11401552,"31151,781420765"
19,779299,"41015,7368421053"
1796,64997428,"36190,1046770601"
2737,92549795,"33814,3204238217"
2775,97746530,"35223,9747747748"
2170,68147707,"31404,4732718894"
434,12408627,"28591,3064516129"
427,12229679,"28640,9344262295"
303,9826004,"32429,0561056106"
444,13328999,"30020,268018018"
720,24494421,"34020,0291666667"
107,6623159,"61898,6822429907"
556,20939262,"37660,5431654676"
1330,61540715,"46271,2142857143"
8049,1129061062,"140273,457820847"
528,10015403,"18968,5662878788"
243,6879264,"28309,7283950617"
277,5340249,"19278,8772563177"
334,7050874,"21110,4011976048"
89,3080375,"34610,9550561798"
101,3038413,"30083,297029703"
2644,118035108,"44642,6278366112"
2157,87974857,"40785,7473342606"
1232,31827646,"25834,1282467532"
12841,959149684,"74694,3138384861"
1047,29133883,"27826,0582617001"
252,8194002,"32515,880952381"
568,11427322,"20118,5246478873"
7,432301,"61757,2857142857"
2176,257010739,"118111,552849265"
440,113632728,"258256,2"
70,2695628,"38508,9714285714"
145,9884780,"68170,8965517241"
85,4946365,"58192,5294117647"
83,3494825,"42106,3253012048"
84,4104497,"48863,0595238095"
183,6962480,"38046,3387978142"
154,5187914,"33687,7532467532"
441,10062948,"22818,4761904762"
186,5742085,"30871,4247311828"
397,11326242,"28529,5768261965"
591,17505308,"29619,8104906937"
729,26455345,"36289,9108367627"
447,58689279,"131295,926174497"
307,12144020,"39557,0684039088"
27,2242886,"83069,8518518519"
19,2006466,"105603,473684211"
1100,32496653,"29542,4118181818"
1052,45668943,"43411,5427756654"
884,30349306,"34331,7941176471"
54,2569370,"47580,9259259259"
56,2290320,"40898,5714285714"
977,25927228,"26537,5926305015"
1059,26569230,"25088,9801699717"
1005,25772061,"25643,8417910448"
930,24216321,"26039,0548387097"
1049,25899464,"24689,6701620591"
120,4011593,"33429,9416666667"
120,3942114,"32850,95"
140,3960402,"28288,5857142857"
393,11781688,"29978,8498727735"
340,11868238,"34906,5823529412"
393,11519927,"29312,7913486005"
396,11830326,"29874,5606060606"
322,8212892,"25505,8757763975"
400,10210413,"25526,0325"
402,10302810,"25628,8805970149"
46,1664312,"36180,6956521739"
323,8712792,"26974,5882352941"
10,1181026,"118102,6"
6,609706,"101617,666666667"
91,3841443,"42213,6593406593"
61,2089182,"34248,8852459016"
365,8726718,"23908,8164383562"
365,8692308,"23814,5424657534"
1682,44090405,"26213,0826397146"
1658,43363008,"26153,8045838359"
1779,54828924,"30820,0809443508"
1704,56404513,"33101,2400234742"
1534,51439113,"33532,6681877445"
1594,49768480,"31222,3839397742"
1657,51229373,"30916,942063971"
1604,59447693,"37062,1527431421"
1635,50570046,"30929,6917431193"
1706,53339398,"31265,7667057444"
1687,51789551,"30699,2003556609"
1673,51788916,"30955,7178720861"
100,6483815,"64838,15"
98,7029207,"71726,6020408163"
135,8340055,"61778,1851851852"
38007,6777291987,"178316,941273976"
41379,7646310683,"184787,227410039"
278,5403696,"19437,7553956835"
1173,30029739,"25600,800511509"
83,4365015,"52590,5421686747"
53,1942893,"36658,358490566"
31,957800,"30896,7741935484"
97,4456143,"45939,618556701"
150,6987613,"46584,0866666667"
48,1440097,"30002,0208333333"
514,21329638,"41497,3501945525"
400,7575337,"18938,3425"
590,116040299,"196678,472881356"
156,4105993,"26320,4679487179"
321,6872202,"21408,7289719626"
494,20149606,"40788,6761133603"
469,16849815,"35927,1108742004"
411,14674986,"35705,5620437956"
86,3559050,"41384,3023255814"
503,14635454,"29096,3300198807"
243,8379878,"34485,0946502058"
498,14293224,"28701,2530120482"
2001,56376647,"28174,2363818091"
742,23742055,"31997,3787061995"
13,873101,"67161,6153846154"
10,665244,"66524,4"
26,1685985,"64845,5769230769"
22,1569623,"71346,5"
27,1582830,"58623,3333333333"
124,5755188,"46412,8064516129"
128,5635384,"44026,4375"
123,5388783,"43811,243902439"
128,5463994,"42687,453125"
150,5757436,"38382,9066666667"
372,9967772,"26795,0860215054"
377,11058503,"29332,899204244"
378,10352952,"27388,7619047619"
285,7909345,"27752,0877192982"
42,1428531,"34012,6428571429"
39,950551,"24373,1025641026"
43,1355877,"31532,023255814"
276,9057907,"32818,5036231884"
306,11396131,"37242,2581699346"
305,10146853,"33268,3704918033"
305,11433170,"37485,8032786885"
294,9139669,"31087,3095238095"
350,7221372,"20632,4914285714"
321,6835493,"21294,3707165109"
351,7200238,"20513,4985754986"
350,7267898,"20765,4228571429"
413,19864215,"48097,3728813559"
460,22195659,"48251,4326086957"
504,23521557,"46669,755952381"
61,6694403,"109744,31147541"
97,8059396,"83086,5567010309"
60,3131215,"52186,9166666667"
43,2697035,"62721,7441860465"
74,5176926,"69958,4594594595"
68,4557851,"67027,2205882353"
73,3396020,"46520,8219178082"
314,13829447,"44042,8248407643"
315,15247706,"48405,4158730159"
96,5793652,"60350,5416666667"
147,13059278,"88838,6258503401"
123,9305576,"75655,0894308943"
70,6632077,"94743,9571428571"
123,9228643,"75029,6178861789"
70,6579506,"93992,9428571429"
106,8701259,"82087,3490566038"
55,16131218,"293294,872727273"
101,4995453,"49459,9306930693"
316,10082981,"31908,167721519"
3536,88946748,"25154,6233031674"
896,19236547,"21469,3604910714"
716,16065494,"22437,8407821229"
1712,47958291,"28013,0204439252"
222,6453231,"29068,6081081081"
192,5422006,"28239,6145833333"
20,1267755,"63387,75"
20,1012448,"50622,4"
20,1061732,"53086,6"
146,6812077,"46658,0616438356"
142,6643713,"46786,7112676056"
137,6366918,"46473,8540145985"
179,8005752,"44724,8715083799"
178,7472964,"41982,9438202247"
178,7770940,"43656,9662921348"
178,7293144,"40972,7191011236"
499,24320617,"48738,7114228457"
795,34027000,"42801,2578616352"
582,37074748,"63702,3161512028"
795,45272597,"56946,6628930818"
211,7489865,"35496,990521327"
85,4490943,"52834,6235294118"
97,6507659,"67089,2680412371"
124,4052515,"32681,5725806452"
128,3978716,"31083,71875"
211,8390045,"39763,2464454976"
214,6490412,"30329,0280373832"
137,4989041,"36416,3576642336"
215,6943290,"32294,3720930233"
210,8146548,"38793,0857142857"
305,9793085,"32108,4754098361"
280,9285345,"33161,9464285714"
456,16437183,"36046,4539473684"
1103,25692370,"23293,1731640979"
1096,27438795,"25035,3968978102"
1112,34279612,"30826,9892086331"
1105,30058099,"27201,8995475113"
33,2121201,"64278,8181818182"
557,32139594,"57701,2459605027"
621,34084529,"54886,5201288245"
567,29351723,"51766,7072310406"
